"source_id","attribute","value"
2106630885454013184,"phot_g_mean_mag",2.3616831
2106630885454013184,"phot_bp_mean_mag",4.4252152
2106630885454013184,"phot_rp_mean_mag",2.0015056
2106630885454013184,"pmra",20.1362334986006
2106630885454013184,"pmdec",81.3492254299333
5922444483103229952,"ra",261.324886059614
5922444483103229952,"dec",-55.5299969170514
5922444483103229952,"parallax",4.56005379221934
5922444483103229952,"phot_g_mean_mag",2.3912818
5922444483103229952,"phot_bp_mean_mag",3.561694
5922444483103229952,"phot_rp_mean_mag",2.1189883
5922444483103229952,"pmra",-8.03916933794999
5922444483103229952,"pmdec",-25.9265828959886
6407842789021568000,"ra",334.624778625081
6407842789021568000,"dec",-60.2597754265753
6407842789021568000,"parallax",17.7323562126775
6407842789021568000,"phot_g_mean_mag",2.396663
6407842789021568000,"phot_bp_mean_mag",3.5457501
6407842789021568000,"phot_rp_mean_mag",2.1070552
6407842789021568000,"pmra",-76.999738018438
6407842789021568000,"pmdec",-32.8230086034831
856096765753549056,"ra",165.460974172097
856096765753549056,"dec",56.3825774935583
856096765753549056,"parallax",38.6030799787644
856096765753549056,"phot_g_mean_mag",2.3985364
856096765753549056,"phot_bp_mean_mag",3.0090785
856096765753549056,"phot_rp_mean_mag",2.515501
856096765753549056,"pmra",79.9586126663101
856096765753549056,"pmdec",32.3645409420382
3704342295607157248,"ra",193.898777974231
3704342295607157248,"dec",3.39723019503185
3704342295607157248,"parallax",17.4064804454874
3704342295607157248,"phot_g_mean_mag",2.4037774
3704342295607157248,"phot_bp_mean_mag",3.9102104
3704342295607157248,"phot_rp_mean_mag",2.0112715
3704342295607157248,"pmra",-469.713876833412
3704342295607157248,"pmdec",-53.7099894496901
4473334474604992512,"ra",265.86794661822
4473334474604992512,"dec",4.56801224577195
4473334474604992512,"parallax",39.2284449576913
4473334474604992512,"phot_g_mean_mag",2.4423249
4473334474604992512,"phot_bp_mean_mag",3.399839
4473334474604992512,"phot_rp_mean_mag",2.1105976
4473334474604992512,"pmra",-41.7931818068601
4473334474604992512,"pmdec",159.429887753866
3501215734352781312,"ra",188.596817582327
3501215734352781312,"dec",-23.3970122338446
3501215734352781312,"parallax",22.0049273357952
3501215734352781312,"phot_g_mean_mag",2.448283
3501215734352781312,"phot_bp_mean_mag",3.3300257
3501215734352781312,"phot_rp_mean_mag",2.2373757
3501215734352781312,"pmra",1.11623922048988
3501215734352781312,"pmdec",-56.7039695186315
2202630001603369984,"ra",325.876944307139
2202630001603369984,"dec",58.7800278344469
2202630001603369984,"parallax",0.119023584153732
2202630001603369984,"phot_g_mean_mag",2.450726
2202630001603369984,"phot_bp_mean_mag",4.243888
2202630001603369984,"phot_rp_mean_mag",1.9729801
2202630001603369984,"pmra",3.43934095659806
2202630001603369984,"pmdec",-4.10833983116435
4629125170492115968,"ra",56.8105839502146
4629125170492115968,"dec",-74.2384526927611
4629125170492115968,"parallax",15.0793467548325
4629125170492115968,"phot_g_mean_mag",2.4740036
4629125170492115968,"phot_bp_mean_mag",3.8621483
4629125170492115968,"phot_rp_mean_mag",2.035936
4629125170492115968,"pmra",50.798645542811
4629125170492115968,"pmdec",114.791438768794
702343774145932544,"ra",140.262572840483
702343774145932544,"dec",34.3926328735182
702343774145932544,"parallax",14.7041957014163
702343774145932544,"phot_g_mean_mag",2.488654
702343774145932544,"phot_bp_mean_mag",3.7024338
702343774145932544,"phot_rp_mean_mag",2.1015406
702343774145932544,"pmra",-218.722562860316
702343774145932544,"pmdec",16.5551679756776
1625209684868707328,"ra",245.997706928606
1625209684868707328,"dec",61.5144635116326
1625209684868707328,"parallax",35.7163275783631
1625209684868707328,"phot_g_mean_mag",2.494415
1625209684868707328,"phot_bp_mean_mag",3.3004897
1625209684868707328,"phot_rp_mean_mag",2.2034333
1625209684868707328,"pmra",-16.3943688662033
1625209684868707328,"pmdec",57.0939074526885
6126469654585981952,"ra",182.089393299423
6126469654585981952,"dec",-50.7224810733466
