LogL_15M003M	LogT_15M003M	L(sun)_15M003M	T_15M003M
0.641494092	3.83331453	4.380201524	6812.625723
0.653968595	3.83503173	4.50784106	6839.616164
0.653200492	3.83492369	4.499875437	6837.914875
0.653635342	3.83498616	4.504383324	6838.898529
0.65381139	3.83501106	4.506209616	6839.290644
0.653886072	3.83502151	4.506984578	6839.455213
0.65392166	3.83502652	4.507353915	6839.534113
0.653944458	3.83502985	4.507590532	6839.586556
0.65396727	3.83503338	4.507827306	6839.642149
0.653996386	3.8350381	4.508129531	6839.716485
0.654036514	3.8350448	4.508546093	6839.822004
0.654092864	3.83505447	4.509131117	6839.974301
0.654196838	3.83507313	4.510210773	6840.268195
0.654333708	3.83509791	4.511632412	6840.658499
0.654507618	3.83513014	4.513439423	6841.166179
0.654713247	3.83517068	4.515576945	6841.80481
0.654945145	3.83522098	4.517988748	6842.597273
0.65518426	3.8352811	4.520476959	6843.544569
0.655401418	3.83534957	4.522737875	6844.623594
0.655567453	3.83542394	4.524467292	6845.79579
0.655663114	3.83550145	4.525463995	6847.017691
0.655687483	3.83558022	4.525717934	6848.259679
0.655663836	3.83566099	4.525471519	6849.533436
0.655621101	3.83574535	4.52502623	6850.86406
0.655576757	3.83583383	4.524564222	6852.259947
0.65555158	3.83592845	4.524301931	6853.753016
0.655540463	3.83602701	4.52418612	6855.308602
0.6555449	3.83613253	4.524232342	6856.974431
0.655570685	3.83623901	4.524500963	6858.655825
0.655612377	3.83634154	4.524935333	6860.275235
0.655697662	3.83644216	4.525824009	6861.86485
0.655812299	3.83653343	4.52701881	6863.30707
0.655983738	3.8366174	4.528806216	6864.634205
0.656217453	3.83669036	4.531244043	6865.787537
0.656520934	3.83674849	4.534411542	6866.70658
0.656925903	3.83679544	4.538641742	6867.448954
0.657444788	3.83682812	4.544067647	6867.965739
0.658090469	3.83684038	4.550828498	6868.159622
0.658895366	3.83683251	4.559270568	6868.035163
0.659889552	3.83680211	4.569719596	6867.554427
0.661145998	3.83676231	4.582959275	6866.925093
0.6626531	3.83668357	4.598890827	6865.680195
0.664474969	3.83656305	4.618223735	6863.775181
0.666675756	3.83639295	4.641685978	6861.087374
