SOURCE_ID	dec_bp_1	dec_bp_2	dec_g_1	dec_g_2	dec_rp_1	dec_rp_2	magnitude_bp_1	magnitude_bp_2	magnitude_g_1	magnitude_g_2	magnitude_rp_1	magnitude_rp_2	parallax_bp_1	parallax_bp_2	parallax_g_1	parallax_g_2	parallax_rp_1	parallax_rp_2	ra_bp_1	ra_bp_2	ra_g_1	ra_g_2	ra_rp_1	ra_rp_2
4044602008709502592	-34.37924583100377	-34.37924583100377	-34.37924583100377	-34.37924583100377	-34.37924583100377	-34.37924583100377			20.275413513183597	20.375413513183595			0.5080485574774192	0.5080485574774192	0.5080485574774192	0.5080485574774192	0.5080485574774192	0.5080485574774192	274.4015575895097	274.4015575895097	274.4015575895097	274.4015575895097	274.4015575895097	274.4015575895097
4044602008710631680	-34.375146471809444	-34.375146471809444	-34.375146471809444	-34.375146471809444	-34.375146471809444	-34.375146471809444			20.460044860839844	20.560044860839845			0.638325004880348	0.638325004880348	0.638325004880348	0.638325004880348	0.638325004880348	0.638325004880348	274.4044182327202	274.4044182327202	274.4044182327202	274.4044182327202	274.4044182327202	274.4044182327202
4044602077425046400	-34.37143356151567	-34.37143356151567	-34.37143356151567	-34.37143356151567	-34.37143356151567	-34.37143356151567			19.17500114440918	19.27500114440918			0.1867961363587747	0.1867961363587747	0.1867961363587747	0.1867961363587747	0.1867961363587747	0.1867961363587747	274.4276286800501	274.4276286800501	274.4276286800501	274.4276286800501	274.4276286800501	274.4276286800501
4044602077425049600	-34.36943908213121	-34.36943908213121	-34.36943908213121	-34.36943908213121	-34.36943908213121	-34.36943908213121			20.108549118041992	20.208549118041997			0.2003446866509348	0.2003446866509348	0.2003446866509348	0.2003446866509348	0.2003446866509348	0.2003446866509348	274.42867132868366	274.42867132868366	274.42867132868366	274.42867132868366	274.42867132868366	274.42867132868366
4044602146149607808	-34.35000326410798	-34.35000326410798	-34.35000326410798	-34.35000326410798	-34.35000326410798	-34.35000326410798			20.441123962402344	20.541123962402345			0.3469688616672168	0.3469688616672168	0.3469688616672168	0.3469688616672168	0.3469688616672168	0.3469688616672168	274.41288733325206	274.41288733325206	274.41288733325206	274.41288733325206	274.41288733325206	274.41288733325206
4044602180504706688	-34.367537021748504	-34.367537021748504	-34.367537021748504	-34.367537021748504	-34.367537021748504	-34.367537021748504			19.802379608154297	19.9023796081543			0.3594591768555781	0.3594591768555781	0.3594591768555781	0.3594591768555781	0.3594591768555781	0.3594591768555781	274.3721112156696	274.3721112156696	274.3721112156696	274.3721112156696	274.3721112156696	274.3721112156696
4044602180509337856	-34.383666213146725	-34.383666213146725	-34.383666213146725	-34.383666213146725	-34.383666213146725	-34.383666213146725			20.263681411743164	20.363681411743165			1.9760716575712296	1.9760716575712296	1.9760716575712296	1.9760716575712296	1.9760716575712296	1.9760716575712296	274.3751229178008	274.3751229178008	274.3751229178008	274.3751229178008	274.3751229178008	274.3751229178008
4044602214864301568	-34.369472381694095	-34.369472381694095	-34.369472381694095	-34.369472381694095	-34.369472381694095	-34.369472381694095			17.877117156982422	17.977117156982423			0.3588175865049678	0.3588175865049678	0.3588175865049678	0.3588175865049678	0.3588175865049678	0.3588175865049678	274.38897749595515	274.38897749595515	274.38897749595515	274.38897749595515	274.38897749595515	274.38897749595515
4666243304361901184	-70.14108477632534	-70.14108477632534	-70.14108477632534	-70.14108477632534	-70.14108477632534	-70.14108477632534	20.721092224121094	20.82109222412109	19.553205490112305	19.653205490112303	18.482431411743164	18.582431411743165	0.9779531065419468	0.9779531065419468	0.9779531065419468	0.9779531065419468	0.9779531065419468	0.9779531065419468	57.230089051817295	57.230089051817295	57.230089051817295	57.230089051817295	57.230089051817295	57.230089051817295
4666243304361901696	-70.13786687001243	-70.13786687001243	-70.13786687001243	-70.13786687001243	-70.13786687001243	-70.13786687001243	20.160785675048828	20.26078567504883	19.185028076171875	19.28502807617188	18.233753204345703	18.333753204345705	0.6572332449654458	0.6572332449654458	0.6572332449654458	0.6572332449654458	0.6572332449654458	0.6572332449654458	57.26289271549548	57.26289271549548	57.26289271549548	57.26289271549548	57.26289271549548	57.26289271549548
4666243308657640576	-70.1392260029443	-70.1392260029443	-70.1392260029443	-70.1392260029443	-70.1392260029443	-70.1392260029443	20.47309112548828	20.573091125488283	18.942983627319336	19.042983627319337	17.751344680786133	17.851344680786134	2.3499370022877324	2.3499370022877324	2.3499370022877324	2.3499370022877324	2.3499370022877324	2.3499370022877324	57.25040285200389	57.25040285200389	57.25040285200389	57.25040285200389	57.25040285200389	57.25040285200389
4666243373081376640	-70.13994724788503	-70.13994724788503	-70.13994724788503	-70.13994724788503	-70.13994724788503	-70.13994724788503	21.052711486816406	21.152711486816408	19.873836517333984	19.973836517333982	18.616851806640625	18.716851806640623	1.7483680174509668	1.7483680174509668	1.7483680174509668	1.7483680174509668	1.7483680174509668	1.7483680174509668	57.32779714830649	57.32779714830649	57.32779714830649	57.32779714830649	57.32779714830649	57.32779714830649
4666243407441123456	-70.12168997007623	-70.12168997007623	-70.12168997007623	-70.12168997007623	-70.12168997007623	-70.12168997007623	20.56866455078125	20.66866455078125	20.32000160217285	20.420001602172853	19.65765190124512	19.75765190124512	0.1387889787199711	0.1387889787199711	0.1387889787199711	0.1387889787199711	0.1387889787199711	0.1387889787199711	57.34269303746209	57.34269303746209	57.34269303746209	57.34269303746209	57.34269303746209	57.34269303746209
4666243407443593472	-70.11399544510803	-70.11399544510803	-70.11399544510803	-70.11399544510803	-70.11399544510803	-70.11399544510803	20.570701599121094	20.67070159912109	19.677186965942383	19.777186965942384	18.43401908874512	18.53401908874512	0.6070375181915604	0.6070375181915604	0.6070375181915604	0.6070375181915604	0.6070375181915604	0.6070375181915604	57.32524894536164	57.32524894536164	57.32524894536164	57.32524894536164	57.32524894536164	57.32524894536164
4666243411736108800	-70.11469967493564	-70.11469967493564	-70.11469967493564	-70.11469967493564	-70.11469967493564	-70.11469967493564	20.869447708129883	20.969447708129884	20.606325149536133	20.70632514953613	19.815868377685547	19.91586837768555	0.767094928921287	0.767094928921287	0.767094928921287	0.767094928921287	0.767094928921287	0.767094928921287	57.34369462529829	57.34369462529829	57.34369462529829	57.34369462529829	57.34369462529829	57.34369462529829
