	LogL_21M003M	LogT_21M003M	L(sun)_21M003M	T_21M003M
1.56867762	3.7626463	37.04056648	5789.569877
1.56643018	3.76171645	36.84937956	5777.187328
1.56406298	3.76074893	36.64907181	5764.331253
1.56159386	3.75974669	36.44129987	5751.043996
1.55902279	3.75870558	36.22620079	5737.27385
1.55639173	3.75773601	36.00739724	5724.479573
1.55363647	3.75684987	35.77968148	5712.81118
1.55068141	3.75590745	35.537053	5700.427808
1.54761512	3.754929	35.28703108	5687.599404
1.54443814	3.75391121	35.0298389	5674.285847
1.54114922	3.75284952	34.76555925	5660.431251
1.53787461	3.75188636	34.50441034	5647.891695
1.53446579	3.75100634	34.23464194	5636.458841
1.530782	3.75006737	33.94548359	5624.285652
1.52697534	3.74909055	33.64924622	5611.649662
1.52304739	3.74807112	33.34627981	5598.492748
1.51899511	3.74700402	33.03658212	5584.753642
1.51502171	3.74600012	32.73570588	5571.859029
1.5111186	3.74513662	32.44282022	5560.791607
1.50678724	3.74420851	32.12086558	5548.920594
1.50232612	3.74324592	31.79260542	5536.635334
1.49773315	3.74224106	31.4581479	5523.839611
1.49300923	3.74118888	31.11782471	5510.473015
1.48842659	3.74017019	30.79119825	5497.562685
1.48429077	3.73932481	30.49936308	5486.871761
1.47954052	3.73841102	30.16758326	5475.339085
1.47465967	3.73746746	29.83044074	5463.456128
1.46965008	3.73648381	29.48832334	5451.095743
1.46451549	3.7354552	29.14174073	5438.200306
1.4598405	3.73449412	28.82972501	5426.179047
1.45561935	3.73364862	28.55087023	5415.625444
1.45080435	3.732746	28.23607651	5404.381517
1.44586089	3.73181635	27.91649497	5392.82528
1.44080756	3.73084946	27.59354889	5380.832338
1.435655	3.72984068	27.26810766	5368.348235
1.43194255	3.72900924	27.03600699	5358.080572
1.42766111	3.7281364	26.77078523	5347.322778
1.42316213	3.72723901	26.49489056	5336.284923
1.41857063	3.72631203	26.21625363	5324.907035
1.41391523	3.72535043	25.93673053	5313.12985
1.41064061	3.72451506	25.74190066	5302.919812
1.40715039	3.72366244	25.5358542	5292.519173
1.40342623	3.72278383	25.31781546	5281.822837
1.3996374	3.72188104	25.09790089	5270.854648
1.3960507	3.72097084	24.89147887	5259.81949
1.39384044	3.72016782	24.76512019	5250.102954
1.39124552	3.71932705	24.61758919	5239.948879
1.38856398	3.71846969	24.46605682	5229.614667
1.38587613	3.71759115	24.31510392	5219.046304
1.38437615	3.71678683	24.2312685	5209.389496
1.38301258	3.71598118	24.15530803	5199.734632
1.38155335	3.71515912	24.07428236	5189.901555
1.38010321	3.71432193	23.99403069	5179.906612
1.37960414	3.7135349	23.96647376	5170.528068
1.37942862	3.71275661	23.95678967	5161.270371
1.37921415	3.71196525	23.94496188	5151.874203
1.37903765	3.71116343	23.93523248	5142.371285
1.37989277	3.71041476	23.98240705	5133.514109
1.38087354	3.7096594	24.03662788	5124.593248
1.38187497	3.70890044	24.09211736	5115.645483
1.38323692	3.70815426	24.16778897	5106.863619
1.38530131	3.70743584	24.28294242	5098.42271
1.3874135	3.70670923	24.4013301	5089.899766
1.38959211	3.7059815	24.52404532	5081.377965
