LogL_07M003M	LogT_07M003M	L(sun)_07M003M	T_07M003M
-0.15262836	3.66963898	0.703674219	4673.464843
-0.149134631	3.66912101	0.709357833	4667.894265
-0.145475865	3.66863174	0.715359148	4662.638442
-0.141780033	3.66813802	0.721472807	4657.340816
-0.138037029	3.66764087	0.727717755	4652.012468
-0.13425363	3.66714559	0.734085034	4646.710223
-0.130440934	3.66665581	0.74055798	4641.472803
-0.126559623	3.66614867	0.747206045	4636.055965
-0.122623783	3.66563898	0.754008457	4630.61826
-0.118560222	3.66514526	0.761096593	4625.357015
-0.114106661	3.66472757	0.768941568	4620.910639
-0.109605558	3.66431021	0.776952453	4616.472045
-0.10503959	3.66389096	0.785164056	4612.017643
-0.100464416	3.66350113	0.793479268	4607.879676
-0.095772645	3.66308421	0.802097855	4603.458263
-0.090999358	3.66266644	0.810962258	4599.032091
-0.086058205	3.66226978	0.820241607	4594.833513
-0.080732506	3.66194188	0.830362054	4591.365642
-0.075342641	3.66161527	0.840731576	4587.914016
-0.069967776	3.66132936	0.851201194	4584.894639
-0.064433279	3.66101112	0.862118017	4581.536175
-0.058792717	3.66069131	0.873388126	4578.16362
-0.053020592	3.66038378	0.885073643	4574.922906
-0.046819951	3.6601481	0.897800926	4572.440891
-0.040545528	3.6599155	0.91086596	4569.992633
-0.034339762	3.65973867	0.923975037	4568.132266
-0.027904789	3.65951462	0.937767572	4565.776201
-0.021346955	3.65929152	0.952035285	4563.431333
-0.014509765	3.65910671	0.967141981	4561.48982
-0.007411239	3.65895934	0.983079774	4559.942224
-0.000456	3.65887842	0.998950668	4559.092671
0.006782622	3.65874316	1.015740155	4557.672973
0.014168766	3.65860628	1.033162814	4556.236722
0.021721725	3.65848507	1.051288043	4554.96527
0.029643762	3.65841279	1.070640733	4554.207247
0.037322371	3.6584158	1.089738692	4554.238811
0.045352435	3.65835955	1.11007529	4553.648982
0.053567106	3.65829779	1.131272177	4553.001464
0.061890017	3.65823846	1.153161187	4552.379511
0.06617665	3.65823067	1.164599636	4552.297855
0.070505546	3.6582272	1.176266006	4552.261482
0.074877239	3.65822305	1.188166324	4552.217982
0.078918047	3.65828896	1.199272973	4552.908895
0.083213748	3.65830935	1.211194103	4553.122657
0.088590378	3.65830841	1.22628207	4553.112802
0.095132898	3.6583065	1.244895502	4553.092778
0.103089097	3.65830587	1.267911956	4553.086173
0.1123249	3.65832493	1.295164404	4553.286
0.1218209	3.65836389	1.323795499	4553.694488
0.1308019	3.6585073	1.351455967	4555.198429
0.140506062	3.65855174	1.381993696	4555.664572
0.150411341	3.65859299	1.41387606	4556.097297
0.160444805	3.65863668	1.446920951	4556.555663
0.170815175	3.65870658	1.481887296	4557.289103
0.181280711	3.65877538	1.518031247	4558.011116
0.190879955	3.65896114	1.551957968	4559.961123
0.201515226	3.65902877	1.590432442	4560.671273
0.212331495	3.65909287	1.630540142	4561.344458
0.223300698	3.65915873	1.672248049	4562.03623
0.234552712	3.65923948	1.716139992	4562.884546
0.245917631	3.65931554	1.761641899	4563.683735
0.256082339	3.65951271	1.803359612	4565.756121
0.267600203	3.65958537	1.851826109	4566.520062
0.279307304	3.65964876	1.902423947	4567.186644
0.291128877	3.65970668	1.954919493	4567.795791
0.303147059	3.65976569	2.009773238	4568.416485
0.315393831	3.6598259	2.067253953	4569.049888
0.32773516	3.65987945	2.126841667	4569.613302
0.333868669	3.6598994	2.157092004	4569.823219
0.336938606	3.65990902	2.172394057	4569.924446
0.339996754	3.65992034	2.187745272	4570.043564
0.34308445	3.65993162	2.203354871	4570.162264
0.345029793	3.66003101	2.213246535	4571.208283
0.347557409	3.66008305	2.2261653	4571.756068
0.35121544	3.66010156	2.24499532	4571.950924
0.355787346	3.66011427	2.268753676	4572.084728
0.361338853	3.66012724	2.297940889	4572.221274
0.368070544	3.66014068	2.333837125	4572.362771
0.376249929	3.66015361	2.378208511	4572.498903
0.386217155	3.66016473	2.433420459	4572.615983
0.39839556	3.66017169	2.50262374	4572.689264
0.411377869	3.66016902	2.578563726	4572.661152
0.424755807	3.66016292	2.659229421	4572.596925
0.438269994	3.66014636	2.743279095	4572.422572
0.451943931	3.66011823	2.831026476	4572.126418
0.465738149	3.66007805	2.922389838	4571.703434
0.479639228	3.66002607	3.017444063	4571.156287
0.493672434	3.65996144	3.116538053	4570.476076
0.507818354	3.65988418	3.219721844	4569.663071
0.52210596	3.65979346	3.327407261	4568.708612
0.529129361	3.65974047	3.381655488	4568.151199
0.536120781	3.65969061	3.436535076	4567.626774
0.541010648	3.65975499	3.475446824	4568.303931
0.547768304	3.65972021	3.529947969	4567.938098
0.555055273	3.65965829	3.589676178	4567.286866
0.563981836	3.65957598	3.66422249	4566.421329
0.574896138	3.65946856	3.757475331	4565.291994
0.588318593	3.65932659	3.875418365	4563.799853
0.60300607	3.65915741	4.008723205	4562.022365
0.617926341	3.65897195	4.148836699	4560.074626
0.633050305	3.65877013	4.295861835	4557.956017
0.648297021	3.65855193	4.44935462	4555.666565
0.663617102	3.65831852	4.609110308	4553.218796
0.679028136	3.65806862	4.775602116	4550.599555
0.694506592	3.65780283	4.948876226	4547.815421
0.710087229	3.65751961	5.129644037	4544.850584
0.725744384	3.65722051	5.317951644	4541.721609
0.74147415	3.65690583	5.514093805	4538.431971
0.757224639	3.65657726	5.717743107	4534.999672
0.772997231	3.65623491	5.929215442	4531.426186
0.788837927	3.65587729	6.149473396	4527.696317
0.804712871	3.65550518	6.378416448	4523.81858
0.820593642	3.65511949	6.615971748	4519.802833
0.836485641	3.65472018	6.862551885	4515.649031
0.852318405	3.65430989	7.117351343	4511.384987
0.868063221	3.65389011	7.380116559	4507.026483
0.883672235	3.65346353	7.650190239	4502.60169
0.89914959	3.65303002	7.927743496	4498.109464
0.914408947	3.65259417	8.211243801	4493.597508
0.929368309	3.65215978	8.499009389	4489.105169
0.943928988	3.65173289	8.788787986	4484.694769
0.957924704	3.65132185	9.0766315	4480.452217
0.971314703	3.65093138	9.360837432	4476.425695
0.984031157	3.65056654	9.638981728	4472.666741
0.996041724	3.6502311	9.909271417	4469.21348
1.00745614	3.64992223	10.17316621	4466.036108
1.0185257	3.6496295	10.43579886	4463.026854
1.02990767	3.64932813	10.71291527	4459.9309
1.0417862	3.64900246	11.00997163	4456.587728
1.0544632	3.64863163	11.33608778	4452.784016
1.06812385	3.6482024	11.69832951	4448.385332
1.08278178	3.64770996	12.09989997	4443.344233
1.09833302	3.64715657	12.54102461	4437.686007
1.11464556	3.64654721	13.02103661	4431.463841
1.13151532	3.64589139	13.53677842	4424.77702
1.14887487	3.64519286	14.08882809	4417.66582
1.16663737	3.64445569	14.67700256	4410.173649
1.18466793	3.6436868	15.2991721	4402.372632
1.20291321	3.64288945	15.95560256	4394.29744
1.22133462	3.64206618	16.64694789	4385.975284
1.2398367	3.64122247	17.37147517	4377.462859
1.2584432	3.64035799	18.13189519	4368.758016
1.2773735	3.63946407	18.93971764	4359.774933
1.29633354	3.63855255	19.78488544	4350.634005
1.3153778	3.63762111	20.67177646	4341.313113
